"id","pageKey","sectionKey","content","updatedAt"
"1","pricelist_page","menu_image","{""image"":""/uploads/upload_1772729259250.png"",""image_en"":""/uploads/upload_1772830269229.jpg""}","2026-03-06 20:51:15.977"
"2","offers_page","offer_2","{""visible"":true}","2026-01-12 16:43:15.568"
"3","offers_page","offer_1","{""visible"":true,""new_price"":""150€"",""old_price"":""180€""}","2026-01-12 16:40:05.814"
"4","giftcard_page","payment_qr","{""qr_image"":""/uploads/upload_1768237597439.jpg""}","2026-01-12 17:06:39.115"
"5","home","hero","{""videoUrl"":""/uploads/upload_1768240173725.mp4""}","2026-01-12 17:49:37.009"
"11","home","services_section","{""headspa"":""/uploads/upload_1772657324662.png"",""permanent"":""/uploads/upload_1772657353537.jpg"",""nails"":""/uploads/upload_1772657361484.jpg"",""lashes"":""/uploads/upload_1772657494766.png"",""innovative"":""/uploads/upload_1772657297156.png"",""aquafacial"":""/uploads/upload_1772657312246.png""}","2026-03-04 20:51:59.951"
"12","services_page","service_cards","{""augenbrauen_image"":""/uploads/upload_1772658090759.png"",""kopfhautpflege_image"":""/uploads/upload_1772657550551.png"",""kopfhautpflege_title_en"":""INNOVATIVE TREATMENTS"",""aquafacial_image"":""/uploads/upload_1772657574975.png"",""headspa_image"":""/uploads/upload_1772657584141.png"",""permanent_image"":""/uploads/upload_1772657610293.jpg"",""wimpern_image"":""/uploads/upload_1772657698549.png"",""nails_image"":""/uploads/upload_1772657904538.png""}","2026-03-04 21:01:43.335"
"17","home","studio_gallery","{""image1"":""/uploads/upload_1772657211201.jpg"",""image2"":""/uploads/upload_1772657240690.png"",""image4"":""/uploads/upload_1772657260713.png"",""image5"":""/uploads/upload_1772657270857.png"",""image3"":""/uploads/upload_1772714511851.png""}","2026-03-05 12:42:16.678"
"18","headspa_page","hero","{""video_url"":""/uploads/upload_1772664234199.mp4""}","2026-03-04 22:55:07.343"
"21","headspa_page","package_images","{""package1_image"":""/uploads/upload_1772659055563.jpg"",""package2_image"":""/uploads/upload_1772659075784.jpg"",""package3_image"":""/uploads/upload_1772659119172.jpg"",""package5_image"":""https://media.canva.com/v2/image-resize/format:JPG/height:534/quality:92/uri:ifs%3A%2F%2FM%2Fa32112ab-a77b-44b6-8cb8-b7f255afbaaf/watermark:F/width:800?csig=AAAAAAAAAAAAAAAAAAAAAC95ghaJtxM5z2auZb2u-xRoh_6dZyjsnZtgvkr-3JwQ&exp=1769806303&osig=AAAAAAAAAAAAAAAAAAAAAHGp36YK4hb7e927C3k199TTtk5-7roPbcdLtg6sGnv3&signer=media-rpc&x-canva-quality=screen"",""package6_image"":""https://media.canva.com/v2/files/uri:ifs%3A%2F%2FM%2FVguh8VMXuR3hJlccOwNNhOwNTx7sS4H55iFYmfF-WgQ.jpg?csig=AAAAAAAAAAAAAAAAAAAAAHkN5Pxwh0nNEVRlCN5azSsHAaWGGg6VEGTpyJZcFKSw&exp=1769807260&signer=media-rpc&token=AAIAAU0AL1ZndWg4Vk1YdVIzaEpsY2NPd05OaE93TlR4N3NTNEg1NWlGWW1mRi1XZ1EuanBnAAAAAAGcELupYIli6kQmT4RgGVSiGhwWGgdRyFE6pxf-56Mo-IacvDYJ"",""package4_image"":""/uploads/upload_1772659094703.jpg""}","2026-03-04 23:10:00.46"
"24","headspa_page","menu_image","{}","2026-01-30 18:28:19.413"
"27","permanent_makeup_page","service_images","{""brows_image"":""/uploads/upload_1772659615592.png"",""lips_image"":""/uploads/upload_1772659633292.jpg"",""eyes_image"":""/uploads/upload_1772659641102.jpg""}","2026-03-05 14:30:32.197"
"28","nails_page","service_images","{""nagelmodellage_image"":""/uploads/upload_1772660087494.png"",""fusspflege_image"":""/uploads/upload_1772659890568.png""}","2026-03-04 21:35:04.036"
"32","permanent_makeup_page","hero","{""video_url"":""/uploads/upload_1772721011845.mp4""}","2026-03-05 14:30:56.596"
"42","angebote_page","combo_images","{""combo1_image"":""/uploads/upload_1772831425613.png"",""combo2_image"":""/uploads/upload_1772831761245.png"",""combo3_image"":""/uploads/upload_1772814719583.png""}","2026-03-06 21:16:26.746"
"45","schulung_page","course_images","{""nails_image"":""/uploads/upload_1772669392151.png"",""business_image"":""/uploads/upload_1772669569254.png"",""beauty_image"":""/uploads/upload_1772751189014.png""}","2026-03-05 22:53:41.635"
"46","permanent_makeup_page","info_sheet","{""image"":""/uploads/upload_1772659576621.jpg"",""image_en"":""/uploads/upload_1772829171657.jpg""}","2026-03-06 20:33:11.969"
"48","wimpern_page","info_sheet","{""image"":""/uploads/upload_1772660133820.jpg"",""image_en"":""/uploads/upload_1772829209388.jpg""}","2026-03-06 20:34:02.158"
"49","aquafacial_page","info_sheet","{""image"":""/uploads/upload_1772662217080.jpg"",""image_en"":""/uploads/upload_1772829279455.jpg""}","2026-03-06 20:34:53.846"
"50","innovative_treatments_page","info_sheet","{""image"":""/uploads/upload_1772718442717.jpg"",""image_en"":""/uploads/upload_1772829337600.jpg""}","2026-03-06 20:50:44.489"
"59","global","social_media","{}","2026-03-04 20:46:06.772"
"60","global","contact_info","{""phone"":""0163 856 2022""}","2026-03-04 20:46:08.473"
"61","home","welcome","{}","2026-03-04 20:51:55.261"
"71","nails_page","hero","{}","2026-03-04 21:35:06.062"
"72","wimpern_page","service_images","{""verlangerung_image"":""/uploads/upload_1772661215802.png"",""welle_image"":""/uploads/upload_1772660385339.png""}","2026-03-04 21:54:28.943"
"73","wimpern_page","hero","{}","2026-03-04 21:54:32.474"
"77","augenbrauen_page","service_images","{""laminieren_image"":""/uploads/upload_1772662129755.png"",""zupfen_image"":""/uploads/upload_1772662834869.png""}","2026-03-04 22:42:39.874"
"79","aquafacial_page","hero","{""image"":""/uploads/upload_1772662350408.png""}","2026-03-04 22:13:29.888"
"89","schulung_beauty_page","hero","{""image"":""/uploads/upload_1772728686294.png""}","2026-03-05 16:38:24.362"
"91","schulung_business_page","hero","{""image"":""/uploads/upload_1772669835992.png""}","2026-03-05 00:17:39.872"
"95","innovative_treatments_page","hero","{""glowme_video"":""/uploads/upload_1772716524876.mp4"",""video_url"":""/uploads/upload_1772751001625.mp4"",""microneedling_video"":""/uploads/upload_1772719813466.mp4""}","2026-03-05 22:52:08.597"
"97","innovative_treatments_page","expert_videos","{}","2026-03-05 14:19:01.012"
"111","schulung_nails_page","hero","{""image"":""/uploads/upload_1772814779045.png"",""extra_image"":""/uploads/upload_1772814780102.png""}","2026-03-06 16:34:37.703"
